date,value
03-19-2024,64089.178638930985
03-19-2024,63745.30067324905
03-19-2024,63948.75166689292
03-19-2024,62372.74716941677
03-20-2024,62132.51737873437
03-20-2024,62952.78375305392
03-20-2024,62418.22308596746
03-20-2024,62757.28788716081
03-20-2024,61994.844181703214
03-20-2024,61494.43884018424
03-20-2024,61509.50848616046
03-20-2024,61731.77705086996
03-20-2024,62884.36559873798
03-20-2024,62874.79366154685
03-20-2024,63057.68108487799
03-20-2024,62982.79036364029
03-20-2024,63300.55236918849
03-20-2024,63980.491782699864
03-20-2024,63584.622230583074
03-20-2024,64298.32801847863
03-20-2024,63658.3063292719
03-20-2024,62954.952770631666
03-20-2024,64533.053787993405
03-20-2024,65319.92288074699
03-20-2024,65738.98112643794
03-20-2024,67109.50104556921
03-20-2024,67689.54455608714
03-20-2024,67583.34048288445
03-21-2024,67736.4259778639
03-21-2024,67779.07402686452
03-21-2024,67883.26168746052
03-21-2024,67528.20969309898
03-21-2024,66772.58458212754
03-21-2024,66709.6296260523
03-21-2024,67200.39978443869
03-21-2024,66916.91466055493
03-21-2024,67024.48744477087
03-21-2024,67278.20159256904
03-21-2024,66860.05257454701
03-21-2024,66894.3138560201
03-21-2024,67064.16784828574
03-21-2024,67233.36352802893
03-21-2024,66640.35129146212
03-21-2024,66909.21841022803
03-21-2024,66400.4735866558
03-21-2024,66661.40508042807
03-21-2024,65723.27266854023
03-21-2024,65209.88193200494
03-21-2024,65466.88091626686
03-21-2024,65423.26017705509
03-21-2024,65628.15563820335
03-21-2024,65420.32765696146
03-22-2024,65487.67010630758
03-22-2024,65728.43512343396
03-22-2024,65255.60786886255
03-22-2024,65741.15677513194
03-22-2024,65953.72613424802
03-22-2024,66216.7457795389
03-22-2024,66387.39598778218
03-22-2024,66405.98882865804
03-22-2024,66200.70890128467
03-22-2024,65994.57004759152
03-22-2024,65593.99945701344
03-22-2024,64775.111091811785
03-22-2024,64240.67346237847
03-22-2024,64249.3692173858
03-22-2024,63329.59186045996
03-22-2024,62770.46543108516
03-22-2024,63881.03199143812
03-22-2024,63510.353006967125
03-22-2024,63559.63123211431
03-22-2024,63740.50752019181
03-22-2024,63931.88321477799
03-22-2024,63481.18453096621
03-22-2024,62932.57999820455
03-22-2024,63028.43134094648
03-23-2024,63659.276944686935
03-23-2024,63680.48869597253
03-23-2024,64126.33516301028
03-23-2024,63871.77731690945
03-23-2024,63547.754140532576
03-23-2024,63873.620861000396
03-23-2024,64088.8299601599
03-23-2024,64181.241868893674
03-23-2024,64561.058663030606
03-23-2024,64445.80496609198
03-23-2024,64474.10720514408
03-23-2024,64340.486910141655
03-23-2024,64650.70700462974
03-23-2024,64691.12725663039
03-23-2024,64580.112625294336
03-23-2024,65318.717795843244
03-23-2024,65063.237279134184
03-23-2024,65689.12067349433
03-23-2024,65632.95288772449
03-23-2024,65370.62205811217
03-23-2024,64934.57022298843
03-23-2024,64991.21682553603
03-23-2024,64935.592818292585
03-23-2024,64748.901211039374
03-24-2024,64151.87481826012
03-24-2024,64553.807622001514
03-24-2024,64465.82645551315
03-24-2024,64235.77074582599
03-24-2024,64008.89335485096
03-24-2024,64277.25518460307
03-24-2024,64331.98591231081
03-24-2024,64206.608088257955
03-24-2024,64576.04323518514
03-24-2024,65084.42449269997
03-24-2024,64887.0514438739
03-24-2024,65020.0583763199
03-24-2024,65425.38129566778
03-24-2024,65637.34127821698
03-24-2024,65322.767747618454
03-24-2024,65662.25387268793
03-24-2024,65642.00498346581
03-24-2024,65333.41475251083
03-24-2024,65406.35818449519
03-24-2024,65932.19660040802
03-24-2024,65842.28949443022
03-24-2024,66327.43616102044
03-24-2024,66786.71069520693
03-24-2024,66956.25831239528
03-25-2024,67078.25188825473
03-25-2024,66587.23479864803
03-25-2024,66559.57864567394
03-25-2024,66704.93440299753
03-25-2024,67253.43640881716
03-25-2024,67531.04807491203
03-25-2024,67418.08931267902
03-25-2024,67241.9797137995
03-25-2024,66910.06241242513
03-25-2024,66922.75808980028
03-25-2024,66966.94213160688
03-25-2024,66997.3414691361
03-25-2024,67022.90229866483
03-25-2024,67062.77637701314
03-25-2024,68171.98383541008
03-25-2024,69284.59048267968
03-25-2024,69766.25809015524
03-25-2024,70241.69607416382
03-25-2024,70347.17365749697
03-25-2024,70789.94536035703
03-25-2024,71007.16531375094
03-25-2024,70925.0162289087
03-25-2024,69916.50259481133
03-25-2024,70368.50947972789
03-26-2024,69946.15807812347
03-26-2024,69875.69755001496
03-26-2024,70243.08380886438
03-26-2024,70444.86898644148
03-26-2024,70606.75438846345
03-26-2024,70587.87537351949
03-26-2024,70303.9775667453
03-26-2024,70801.94502043219
03-26-2024,70439.02959732697
03-26-2024,70606.09046669709
03-26-2024,71123.33017385153
03-26-2024,70914.53437100319
03-26-2024,70606.28960259762
03-26-2024,70969.37886981932
03-26-2024,70358.07953894803
03-26-2024,70303.11831929775
03-26-2024,70229.0097498018
03-26-2024,69901.91050851512
03-26-2024,70091.1167060653
03-26-2024,70012.84503984587
03-26-2024,69567.22523440224
03-26-2024,69780.23339775385
03-26-2024,70005.47611216138
03-26-2024,70258.04247613561
03-27-2024,69928.89614021695
03-27-2024,70560.29875226483
03-27-2024,70249.5042721466
03-27-2024,70587.94068079986
03-27-2024,70404.08626078432
03-27-2024,70207.81373294971
03-27-2024,70443.59101453355
03-27-2024,70332.02143269757
03-27-2024,69827.86825494816
03-27-2024,69511.32384159049
03-27-2024,70065.11768551926
03-27-2024,70108.64836939916
03-27-2024,70178.07017378916
03-27-2024,70564.6853100495
03-27-2024,70002.67927698849
03-27-2024,69768.8031184416
03-27-2024,69128.64276340636
03-27-2024,69237.22274954454
03-27-2024,68711.53296003479
03-27-2024,68512.60708894888
03-27-2024,68892.9624376499
03-27-2024,68812.07218189248
03-27-2024,68897.5788744662
03-27-2024,69406.85341660514
03-28-2024,69491.20960736663
03-28-2024,69667.97713828342
03-28-2024,69446.65248179654
03-28-2024,69079.83441639614
03-28-2024,69336.86546147561
03-28-2024,69688.58587134375
03-28-2024,69711.4001862299
03-28-2024,70280.3511805213
03-28-2024,70511.76862806825
03-28-2024,70562.87802202872
03-28-2024,70594.08127013895
03-28-2024,70709.69693497256
03-28-2024,70715.06315332449
03-28-2024,70549.63120762739
03-28-2024,70933.00956138897
03-28-2024,71551.78654469653
03-28-2024,71290.03046718154
03-28-2024,70651.4575964369
03-28-2024,70777.33681693576
03-28-2024,70633.73660420907
03-28-2024,70857.91759168544
03-28-2024,70700.27799886555
03-28-2024,70734.84577639465
03-28-2024,70817.35435689316
03-29-2024,70744.42441692349
03-29-2024,70694.48005940203
03-29-2024,70817.0202375413
03-29-2024,70686.00465627707
03-29-2024,70442.66752187049
03-29-2024,70379.97169383001
03-29-2024,70199.82756395357
03-29-2024,70438.06752742469
03-29-2024,69835.74921846428
03-29-2024,69956.42149624269
03-29-2024,69734.6751734077
03-29-2024,70111.5770534737
03-29-2024,70171.54038889699
03-29-2024,70166.73684073053
03-29-2024,70451.71366168032
03-29-2024,70088.60655328099
03-29-2024,69310.17294396741
03-29-2024,69200.5534515082
03-29-2024,69432.58774240862
03-29-2024,69496.38370749578
03-29-2024,69671.7817568704
03-29-2024,69592.1247935203
03-29-2024,69453.81174154938
03-29-2024,69928.194964586
03-30-2024,69906.3601516673
03-30-2024,69879.08177375929
03-30-2024,70000.33924835018
03-30-2024,69946.62566419902
03-30-2024,69876.50773092965
03-30-2024,70342.62825199634
03-30-2024,69993.69822343232
03-30-2024,69965.52751036559
03-30-2024,69909.62947172619
03-30-2024,69966.6849975713
03-30-2024,70054.85964219787
03-30-2024,70141.46168819138
03-30-2024,70212.70191019075
03-30-2024,70290.04906804294
03-30-2024,70179.01485359542
